Time(s),AU46-EQ6-psaNorthSouth(g),AU46-EQ6-psaEastWest(g),CO47-EQ18-psaNorthSouth(g),CO47-EQ18-psaEastWest(g),DR16-EQ24-psaNorthSouth(g),DR16-EQ24-psaEastWest(g),DX37-EQ25-psaNorthSouth(g),DX37-EQ25-psaEastWest(g),EO30-EQ26-psaNorthSouth(g),EO30-EQ26-psaEastWest(g),GR27-EQ31-psaNorthSouth(g),GR27-EQ31-psaEastWest(g),ME52-EQ39-psaNorthSouth(g),ME52-EQ39-psaEastWest(g),Median-ZoneII-psaNorthSouth(g),StandardDev-ZoneII-psaNorthSouth(g),Median-ZoneII-psaEastWest(g),StandardDev-ZoneII-psaEastWest(g)
0.23,0.158938996,0.15693043,0.120097582,0.182689959,0.083507758,0.132543079,0.230067359,0.239220362,0.083246192,0.118412668,0.189272101,0.294237472,0.106394102,0.082160744,0.120097582,0.051859869,0.15693043,0.067929373
0.24,0.142132705,0.136973448,0.123217538,0.173699937,0.101070294,0.131631108,0.249019833,0.250499261,0.080547518,0.114682946,0.155636683,0.276409644,0.121388667,0.101042789,0.123217538,0.050434621,0.136973448,0.063461093
0.25,0.124317981,0.134604608,0.125649343,0.17617353,0.111280422,0.129706483,0.24266435,0.253366066,0.091073657,0.114979847,0.137108021,0.304581728,0.131811525,0.107995522,0.125649343,0.045117064,0.134604608,0.070414596
0.26,0.113951182,0.133214739,0.145994382,0.165968472,0.111517059,0.126933954,0.224292593,0.230550181,0.095706169,0.116450242,0.136166949,0.308440878,0.132153472,0.101310534,0.132153472,0.038933643,0.133214739,0.069317952
0.27,0.118119668,0.128978376,0.182241622,0.172681307,0.112577779,0.125485618,0.2484468,0.204304261,0.097329796,0.113839827,0.136233946,0.273837358,0.133691787,0.09170461,0.133691787,0.048273796,0.128978376,0.05857745
0.28,0.115030929,0.139084985,0.197111437,0.183287894,0.128268832,0.126706195,0.273173043,0.170808853,0.094856378,0.128261158,0.135368218,0.254483648,0.144357866,0.092305917,0.135368218,0.056270784,0.139084985,0.048744745
0.29,0.108814247,0.147522852,0.180116228,0.188957064,0.131706803,0.130998786,0.293007547,0.185135757,0.092386795,0.137668672,0.131420655,0.247908155,0.15017201,0.092425024,0.131706803,0.061934677,0.147522852,0.046665796
0.3,0.113519812,0.150248947,0.172520248,0.207927975,0.125243473,0.126315036,0.292097225,0.199077392,0.104648497,0.142561038,0.13228412,0.221154252,0.149258904,0.103216361,0.13228412,0.059509812,0.150248947,0.041729286
0.31,0.122204846,0.153797932,0.198554437,0.199202246,0.120109301,0.116962554,0.2846383,0.202582418,0.123153278,0.155723087,0.140511527,0.187191992,0.139043328,0.118100279,0.139043328,0.056325476,0.155723087,0.033226021
0.32,0.132611534,0.167662147,0.224383538,0.197002478,0.11504642,0.113669285,0.287708757,0.214624061,0.128352987,0.175011634,0.142002548,0.176887594,0.123533746,0.123135585,0.132611534,0.060615048,0.175011634,0.034014065
