Time(s),AE02-EQ1-psaNorthSouth(g),AE02-EQ1-psaEastWest(g),AU11-EQ5-psaNorthSouth(g),AU11-EQ5-psaEastWest(g),CE23-EQ12-psaNorthSouth(g),CE23-EQ12-psaEastWest(g),CE32-EQ13-psaNorthSouth(g),CE32-EQ13-psaEastWest(g),CP28-EQ20-psaNorthSouth(g),CP28-EQ20-psaEastWest(g),DM12-EQ23-psaNorthSouth(g),DM12-EQ23-psaEastWest(g),NZ20-EQ43-psaNorthSouth(g),NZ20-EQ43-psaEastWest(g),NZ31-EQ44-psaNorthSouth(g),NZ31-EQ44-psaEastWest(g),PD42-EQ46-psaNorthSouth(g),PD42-EQ46-psaEastWest(g),TH35-EQ52-psaNorthSouth(g),TH35-EQ52-psaEastWest(g),XO36-EQ60-psaNorthSouth(g),XO36-EQ60-psaEastWest(g)
0.180,0.155571306,0.159698636,0.103305716,0.118450241,0.069972864,0.087712632,0.102773185,0.088116148,0.218825943,0.481746622,0.116829595,0.118326228,0.236886137,0.319283955,0.124237332,0.104744131,0.176804905,0.16459845,0.24673722,0.229907157,0.162387401,0.431399725
0.190,0.173773568,0.14819597,0.105496995,0.143856652,0.073724062,0.089271827,0.105708391,0.086912955,0.223059959,0.430562222,0.098936377,0.123056938,0.228393099,0.318913761,0.122898733,0.102835608,0.18175036,0.166007073,0.244746233,0.245132275,0.152831376,0.412474465
0.200,0.186028841,0.149755189,0.102568895,0.166555894,0.08072519,0.086920059,0.106290177,0.084437853,0.206529416,0.390560214,0.100479942,0.124505281,0.215900031,0.318857217,0.118333145,0.104597465,0.18617502,0.147858943,0.237409399,0.252135801,0.147497023,0.41312421
0.210,0.186564164,0.146724978,0.112862619,0.177296773,0.080991054,0.079501037,0.119011001,0.092603701,0.249005961,0.414826147,0.105089638,0.136993865,0.20803792,0.299582895,0.123389876,0.103622478,0.156378253,0.14154976,0.203359357,0.256457582,0.149210734,0.381058236
0.220,0.174687374,0.154921249,0.122474433,0.16929367,0.0748547,0.07598504,0.12270475,0.093767011,0.348796518,0.420045648,0.126166942,0.139890787,0.203285515,0.2906684,0.121585855,0.106502638,0.154151397,0.149654618,0.228169511,0.296475721,0.148270673,0.35863371
0.230,0.161052444,0.155837998,0.138578621,0.181892319,0.075038238,0.071942136,0.114163707,0.098377243,0.431933769,0.446890584,0.116451996,0.143221,0.208166769,0.293689042,0.123736478,0.10828217,0.183386989,0.139848117,0.243631011,0.298609405,0.14541367,0.338621621
0.240,0.151072918,0.170661266,0.142959432,0.180992146,0.074774048,0.074181154,0.112921145,0.102582427,0.418169598,0.492167333,0.113614202,0.128693359,0.205839337,0.339060285,0.137115438,0.113838862,0.192759517,0.140156727,0.246602335,0.294668487,0.145943201,0.363611682
0.250,0.134625062,0.179169199,0.129483977,0.181252095,0.073549692,0.074557225,0.117338573,0.100116385,0.352754616,0.420866257,0.106945312,0.122433784,0.231947594,0.359881335,0.142975729,0.121544172,0.204301047,0.147260292,0.246121429,0.29856019,0.156484954,0.385111366
0.260,0.129165049,0.180970367,0.109710927,0.173834073,0.077018386,0.079353967,0.116927533,0.10526613,0.311612822,0.36457764,0.101272957,0.117998111,0.253219878,0.35417792,0.156011049,0.136219654,0.2089914,0.148877677,0.253173288,0.339555785,0.162745647,0.395372069
0.270,0.127862807,0.18274291,0.102814206,0.162699312,0.083993269,0.079356584,0.120463632,0.104045308,0.294014589,0.304951631,0.103308311,0.118288148,0.275014006,0.342317034,0.163895524,0.135402177,0.236045884,0.159201751,0.252062484,0.353774575,0.167215392,0.403322161
0.280,0.127961324,0.18024708,0.105406021,0.146210981,0.086627997,0.07675636,0.12379072,0.105722491,0.320421275,0.299367804,0.113251094,0.124708875,0.2756263,0.334065668,0.168492863,0.11954016,0.245463282,0.163337779,0.245596676,0.339190602,0.176761172,0.405752783
0.290,0.134615593,0.176713064,0.102913312,0.131899835,0.08858474,0.073309674,0.116936168,0.107678813,0.329535401,0.290531846,0.114739544,0.145172196,0.281356667,0.328256483,0.157244008,0.123342043,0.242577573,0.167050224,0.2764433,0.345203721,0.181299215,0.419557064
0.300,0.142390416,0.159526467,0.107622132,0.131953174,0.089121253,0.074246454,0.112801146,0.111152309,0.318749063,0.257287649,0.119671006,0.168905301,0.290389857,0.330947482,0.148038207,0.120942557,0.238722121,0.169327942,0.305203666,0.402339079,0.184040632,0.440856758
0.310,0.163305073,0.161960936,0.117382546,0.141462438,0.087213691,0.074716803,0.108304875,0.11261508,0.289113301,0.279433373,0.12597871,0.185689186,0.275873425,0.316222487,0.146525654,0.119843235,0.270077751,0.168125165,0.334716813,0.420837816,0.192299878,0.456976606
0.320,0.170083213,0.160637623,0.110982982,0.142968558,0.081476492,0.081025625,0.107697443,0.125145185,0.315376646,0.321896844,0.130520412,0.186431375,0.255495678,0.286834067,0.136911212,0.123740905,0.274884735,0.178813749,0.359497727,0.428260507,0.210277146,0.445718043
0.330,0.173976202,0.176220462,0.115508978,0.128977769,0.081447555,0.090390176,0.106931457,0.134361882,0.340178021,0.325366001,0.140578756,0.188324156,0.241788094,0.272541081,0.133242596,0.125987075,0.265509427,0.19927892,0.36760137,0.460956438,0.230897023,0.442895912
0.340,0.174403404,0.206271719,0.129404537,0.128294894,0.081379305,0.094987514,0.116243458,0.140654043,0.362801594,0.317166286,0.150092178,0.191335017,0.235087604,0.264791876,0.134466954,0.12636333,0.27924561,0.222984993,0.351247819,0.487981816,0.241087727,0.45218209
0.350,0.174577526,0.223564888,0.143103316,0.144194891,0.073467372,0.093601311,0.124594658,0.145349301,0.350766962,0.327407644,0.155824329,0.195602065,0.247399704,0.244886055,0.133551199,0.133412527,0.2978668,0.220350398,0.328135803,0.541368386,0.241374954,0.462178328
0.360,0.15998546,0.222093585,0.156611475,0.16066904,0.070543071,0.087198479,0.124761795,0.146841041,0.345985098,0.32305039,0.163158876,0.200318419,0.252616228,0.222409307,0.144201591,0.13983355,0.287824222,0.205046871,0.331645662,0.655946653,0.239164455,0.467606932
0.370,0.150262194,0.204049278,0.159665553,0.167559254,0.069589091,0.089154412,0.117775118,0.141630157,0.337042294,0.331643963,0.166783521,0.205600746,0.243784985,0.209929317,0.152337397,0.147209377,0.249252129,0.185963364,0.343607629,0.750468902,0.235924628,0.4821421
0.380,0.155357559,0.184076895,0.16019084,0.170654499,0.073463106,0.092105197,0.12365963,0.137526026,0.304183889,0.335275956,0.158270119,0.20225203,0.23769213,0.205448542,0.160949853,0.155140918,0.208392086,0.194548049,0.33093858,0.753867524,0.222916432,0.478693598
0.390,0.155045901,0.177266501,0.167144112,0.172989484,0.077586045,0.089334279,0.139727504,0.140344214,0.261079979,0.319325923,0.164752594,0.193691026,0.249065464,0.216019684,0.176187801,0.174460104,0.195557921,0.197504861,0.306632262,0.69569609,0.216297982,0.544381845
0.400,0.145286,0.178536917,0.171914929,0.175207124,0.079009547,0.082223276,0.159365714,0.13970445,0.21997957,0.288071116,0.173151999,0.195172942,0.2718937,0.217010714,0.186781946,0.192597509,0.212493066,0.211245768,0.30801835,0.677031463,0.231813843,0.599553996
0.410,0.147094891,0.184335889,0.166082841,0.180603375,0.074453541,0.073295893,0.173560233,0.138717205,0.196804253,0.267573936,0.175552776,0.218657939,0.266960336,0.217119847,0.190994475,0.19894496,0.227395669,0.211476371,0.337840182,0.64220835,0.243238379,0.583923099
0.420,0.159318886,0.19373598,0.153333002,0.179084975,0.067760985,0.066182099,0.175490072,0.135644286,0.176931481,0.25726122,0.175951831,0.233121614,0.261080449,0.219404699,0.188351061,0.193699254,0.243892412,0.215621925,0.369253104,0.587692329,0.24034737,0.538764811
0.430,0.165328386,0.199634223,0.138674847,0.176556293,0.063320124,0.066066092,0.167153592,0.128731131,0.157267255,0.247390631,0.185856954,0.23852981,0.267986626,0.223163262,0.180813465,0.192047283,0.254753579,0.219135396,0.38451553,0.531433656,0.233262181,0.538850591
0.440,0.167478363,0.200954149,0.126712226,0.179476186,0.061348248,0.068567501,0.156165812,0.138243876,0.167006874,0.244795291,0.203637758,0.233904385,0.276759704,0.230963558,0.166790978,0.182743209,0.254690427,0.231731419,0.373511951,0.565017366,0.23713736,0.533460306
0.450,0.17234896,0.201455786,0.139802259,0.175585316,0.063931179,0.070020389,0.147022599,0.14149853,0.171860182,0.245799395,0.215732018,0.214030603,0.289952018,0.23874894,0.149530628,0.178715755,0.249237456,0.242081518,0.414332209,0.577593059,0.243952446,0.518640652
0.460,0.181817942,0.201438328,0.149301048,0.163048247,0.065214279,0.072035067,0.13834811,0.142755988,0.170185589,0.247020352,0.217855365,0.216056697,0.295726269,0.241272212,0.14158752,0.168950437,0.245376674,0.253597901,0.440087512,0.594717201,0.254368573,0.503351865
0.470,0.189522096,0.197182829,0.153649242,0.165411226,0.066458429,0.072504572,0.138462096,0.146030122,0.168600434,0.254118993,0.21622506,0.215330291,0.288341437,0.234870194,0.132727097,0.170350495,0.246644449,0.266648969,0.434479087,0.614353426,0.245714383,0.502271835
0.480,0.197021351,0.189612684,0.152875998,0.17101145,0.069961152,0.072850411,0.139794808,0.151740151,0.174999371,0.269552158,0.218373997,0.217017698,0.274317788,0.228793058,0.128858895,0.172194175,0.265787795,0.275051214,0.445928883,0.625990703,0.233850714,0.51765578
0.490,0.203765924,0.187578426,0.144764633,0.165647991,0.074549821,0.076253656,0.137058514,0.159171146,0.187771598,0.294762107,0.22773319,0.225234113,0.259260866,0.226551325,0.137652687,0.175610247,0.297192997,0.278260795,0.48241447,0.644724031,0.239526748,0.53948578
0.500,0.205487599,0.198482008,0.131936941,0.181296246,0.079088577,0.081621579,0.128720183,0.171452734,0.201435187,0.31101518,0.238594166,0.238425599,0.240380989,0.214507411,0.143533638,0.180132347,0.31833538,0.301518191,0.503955159,0.691533188,0.251770265,0.560833058
0.510,0.212909567,0.217537127,0.113122122,0.188641688,0.082997629,0.085767629,0.133686594,0.187069103,0.19774199,0.329159124,0.242960319,0.247105412,0.231828573,0.210611121,0.144155077,0.183889145,0.345705608,0.34773207,0.48968967,0.734618391,0.275403496,0.576255525
