T(s),Zone I (overstrength 2),Zone I (elastic),Zone II (overstrength 2),Zone II (elastic),Zone IIIa (overstrength 2),Zone IIIa (elastic),Zone IIIb (overstrength 2),Zone IIIb (elastic),Zone IIIc (overstrength 2),Zone IIIc (elastic),Zone IIId (overstrength 2),Zone IIId (elastic)
0.43,0.16,0.32,0.32,0.64,0.343396226,0.686792453,0.282,0.564,0.2032,0.4064,0.201176471,0.402352941
0.44,0.16,0.32,0.32,0.64,0.349056604,0.698113208,0.286,0.572,0.2056,0.4112,0.203529412,0.407058824
0.45,0.16,0.32,0.32,0.64,0.354716981,0.709433962,0.29,0.58,0.208,0.416,0.205882353,0.411764706
0.46,0.16,0.32,0.32,0.64,0.360377358,0.720754717,0.294,0.588,0.2104,0.4208,0.208235294,0.416470588
0.47,0.16,0.32,0.32,0.64,0.366037736,0.732075472,0.298,0.596,0.2128,0.4256,0.210588235,0.421176471
0.48,0.16,0.32,0.32,0.64,0.371698113,0.743396226,0.302,0.604,0.2152,0.4304,0.212941176,0.425882353
0.49,0.16,0.32,0.32,0.64,0.377358491,0.754716981,0.306,0.612,0.2176,0.4352,0.215294118,0.430588235
0.5,0.16,0.32,0.32,0.64,0.383018868,0.766037736,0.31,0.62,0.22,0.44,0.217647059,0.435294118
0.51,0.16,0.32,0.32,0.64,0.388679245,0.777358491,0.314,0.628,0.2224,0.4448,0.22,0.44
0.52,0.16,0.32,0.32,0.64,0.394339623,0.788679245,0.318,0.636,0.2248,0.4496,0.222352941,0.444705882
0.53,0.16,0.32,0.32,0.64,0.4,0.8,0.322,0.644,0.2272,0.4544,0.224705882,0.449411765
0.54,0.16,0.32,0.32,0.64,0.4,0.8,0.326,0.652,0.2296,0.4592,0.227058824,0.454117647
0.55,0.16,0.32,0.32,0.64,0.4,0.8,0.33,0.66,0.232,0.464,0.229411765,0.458823529
0.56,0.16,0.32,0.32,0.64,0.4,0.8,0.334,0.668,0.2344,0.4688,0.231764706,0.463529412
0.57,0.16,0.32,0.32,0.64,0.4,0.8,0.338,0.676,0.2368,0.4736,0.234117647,0.468235294
0.58,0.16,0.32,0.32,0.64,0.4,0.8,0.342,0.684,0.2392,0.4784,0.236470588,0.472941176
0.59,0.16,0.32,0.32,0.64,0.4,0.8,0.346,0.692,0.2416,0.4832,0.238823529,0.477647059
0.6,0.16,0.32,0.32,0.64,0.4,0.8,0.35,0.7,0.244,0.488,0.241176471,0.482352941
0.61,0.16,0.32,0.32,0.64,0.4,0.8,0.354,0.708,0.2464,0.4928,0.243529412,0.487058824
0.62,0.16,0.32,0.32,0.64,0.4,0.8,0.358,0.716,0.2488,0.4976,0.245882353,0.491764706
0.63,0.16,0.32,0.32,0.64,0.4,0.8,0.362,0.724,0.2512,0.5024,0.248235294,0.496470588
0.64,0.16,0.32,0.32,0.64,0.4,0.8,0.366,0.732,0.2536,0.5072,0.250588235,0.501176471
0.65,0.16,0.32,0.32,0.64,0.4,0.8,0.37,0.74,0.256,0.512,0.252941176,0.505882353
0.66,0.16,0.32,0.32,0.64,0.4,0.8,0.374,0.748,0.2584,0.5168,0.255294118,0.510588235
0.67,0.16,0.32,0.32,0.64,0.4,0.8,0.378,0.756,0.2608,0.5216,0.257647059,0.515294118
0.68,0.16,0.32,0.32,0.64,0.4,0.8,0.382,0.764,0.2632,0.5264,0.26,0.52
0.69,0.16,0.32,0.32,0.64,0.4,0.8,0.386,0.772,0.2656,0.5312,0.262352941,0.524705882
0.7,0.16,0.32,0.32,0.64,0.4,0.8,0.39,0.78,0.268,0.536,0.264705882,0.529411765
0.71,0.16,0.32,0.32,0.64,0.4,0.8,0.394,0.788,0.2704,0.5408,0.267058824,0.534117647
0.72,0.16,0.32,0.32,0.64,0.4,0.8,0.398,0.796,0.2728,0.5456,0.269411765,0.538823529
0.73,0.16,0.32,0.32,0.64,0.4,0.8,0.402,0.804,0.2752,0.5504,0.271764706,0.543529412
0.74,0.16,0.32,0.32,0.64,0.4,0.8,0.406,0.812,0.2776,0.5552,0.274117647,0.548235294
0.75,0.16,0.32,0.32,0.64,0.4,0.8,0.41,0.82,0.28,0.56,0.276470588,0.552941176
0.76,0.16,0.32,0.32,0.64,0.4,0.8,0.414,0.828,0.2824,0.5648,0.278823529,0.557647059
0.77,0.16,0.32,0.32,0.64,0.4,0.8,0.418,0.836,0.2848,0.5696,0.281176471,0.562352941
0.78,0.16,0.32,0.32,0.64,0.4,0.8,0.422,0.844,0.2872,0.5744,0.283529412,0.567058824
0.79,0.16,0.32,0.32,0.64,0.4,0.8,0.426,0.852,0.2896,0.5792,0.285882353,0.571764706
0.8,0.16,0.32,0.32,0.64,0.4,0.8,0.43,0.86,0.292,0.584,0.288235294,0.576470588
0.81,0.16,0.32,0.32,0.64,0.4,0.8,0.434,0.868,0.2944,0.5888,0.290588235,0.581176471
