T(s),SCT-NorthSouth-19Sep1985-Damping5percent-Sa(g),SCT-EastWest-19Sep1985-Damping5percent-Sa(g),SCT-EastWest-19Sep2017-Damping5percent-Sa(g)
2.46,0.336791305,0.671220601,0.161145973
2.48,0.331725923,0.677002487,0.155032324
2.5,0.328313986,0.683904271,0.149386035
2.52,0.32605682,0.69016632,0.143529827
2.54,0.32438686,0.694469032,0.137480907
2.56,0.322427268,0.695447666,0.131291753
2.58,0.319618196,0.692282783,0.125025851
2.6,0.315292803,0.692006075,0.121013894
2.62,0.310869653,0.692150897,0.117597655
2.64,0.306873843,0.687305382,0.11403685
2.66,0.306338267,0.67754,0.111100897
2.68,0.305040785,0.663091376,0.109290561
2.7,0.299986656,0.644380326,0.106804516
2.72,0.295577207,0.627195953,0.103754587
2.74,0.29061999,0.613565647,0.100215413
2.76,0.282572508,0.596311753,0.096291916
2.78,0.272530734,0.575764506,0.092085729
2.8,0.261195912,0.552185566,0.087691947
2.82,0.249614587,0.52589894,0.083221081
2.84,0.238709633,0.50589211,0.080331702
2.86,0.229260163,0.485184506,0.078169551
2.88,0.223177564,0.462295617,0.07577896
2.9,0.220990071,0.437710449,0.07320474
2.92,0.218470204,0.412051009,0.070487309
2.94,0.215592813,0.385962589,0.068304597
2.96,0.212341682,0.360193639,0.067141397
2.98,0.208710367,0.335504322,0.066066035
3,0.204702712,0.312623833,0.065077411
3.02,0.201123344,0.292217635,0.064127268
3.04,0.198741988,0.274766555,0.063149072
3.06,0.196713751,0.260563527,0.062073466
3.08,0.194257625,0.249666789,0.060862803
3.1,0.191422029,0.247659827,0.05955581
3.12,0.188273731,0.245242477,0.05873791
3.14,0.184736585,0.242285698,0.05791945
3.16,0.180827992,0.238770775,0.057101947
3.18,0.176696524,0.234718716,0.056280571
3.2,0.172242681,0.23028054,0.055497299
3.22,0.167495229,0.229008043,0.055283109
3.24,0.163994179,0.226959144,0.055072314
3.26,0.161499419,0.223868451,0.054855352
3.28,0.15772634,0.219633904,0.054630979
3.3,0.152887054,0.214259531,0.05439787
3.32,0.147214088,0.207835025,0.054168563
3.34,0.145176606,0.200512824,0.053928063
3.36,0.143533639,0.196815627,0.053674444
3.38,0.14113318,0.193322283,0.0534063
3.4,0.138114404,0.189039653,0.053130958
3.42,0.134610438,0.184080561,0.052844271
3.44,0.130737727,0.178560408,0.052539246
3.46,0.126691325,0.172587421,0.052214954
3.48,0.122477492,0.166258298,0.051878226
3.5,0.118204404,0.159676239,0.051527788
3.52,0.113936279,0.15705738,0.051156422
3.54,0.10971419,0.154928236,0.050764108
3.56,0.10554738,0.152995005,0.050361825
3.58,0.101527248,0.151257013,0.049942141
3.6,0.097598603,0.14966737,0.049737798
3.62,0.093781855,0.148210347,0.050361509
